"kapitola";"věta";"rozsudek";"komentář"
"I";"Holé nohy měla drze položené na jídelním stole.";"PONECHAT";"Silný úvodní obraz, ""drze"" přesně nese charakter Klárky bez zbytečného vysvětlování."
"I";"Nepřekážel jí v tom ani talíř s dvakrát ukousnutou houskou, do kterého ťukala spodkem paty.";"PONECHAT";"Konkrétní, tělesný detail, dobrý rytmus, žádný nadbytečný přívlastek."
"I";"Kolem talíře ležela zrnka soli a máku, která před jídlem z pečiva důkladně smetla hřbetem ruky, jak měla poslední dobou ve zvyku.";"UPRAVIT";"""Důkladně"" je nadbytečný přívlastek k už popisnému ""smetla hřbetem ruky"" - škrtnout. ""Jak měla poslední dobou ve zvyku"" naznačuje změnu chování (relevantní k jejímu smutku) - ponechat."
"I";"Nešikovným pohybem se jí podařilo převrhnout vysoký kelímek bílého jogurtu i s lžící a zamazat tak desku stolu.";"UPRAVIT";"""Nešikovným"", ""vysoký"" a ""bílého"" jsou tři přívlastky navíc k jedné akci - jogurt je definičně bílý. Zredukovat na ""převrhla kelímek jogurtu i s lžící""."
"I";"Tomáš tušil, že si spíš vymáchá nohy v jogurtu a roznese ho po celém domě, než aby si ukrojila dvě minuty ze svého pohodlí, vzala navlhčený hadr a otřela tu spoušť stejně pečlivě jako housku od zrníček.";"PONECHAT";"Klíčová věta - ustavuje Tomášovu pozorovatelskou, bezmocnou roli a Klárčinu lhostejnost. Nese charakterizaci obou postav najednou, nekrátit."
"I";"Už se málem chtěl sebrat a ten nepořádek po Klárce uklidit.";"PONECHAT";"Ukazuje Tomášovu neschopnost přestat pečovat i po smrti - důležitý motiv duchovské bezmoci."
"I";"„Nesmysl,“ připomněl si.";"PONECHAT";"Úsporný dialogový zlom, dobré tempo."
"I";"Stál v protějším rohu kuchyně a věděl, že nic nezmůže.";"PONECHAT";"Uzavírá odstavec potvrzením bezmoci a scénickou kotvou (roh kuchyně)."
"I";"Patou lehce strčila do ležícího kelímku.";"UPRAVIT";"""Lehce"" je nadbytečný přívlastek - ""strčila"" už naznačuje míru síly, škrtnout."
"I";"Odkutálel se a zastavil až na samém okraji stolu.";"PONECHAT";"Konkrétní pohyb, dobrý detail napětí."
"I";"Škoda.";"PONECHAT";"Úsporný, ironický Tomášův komentář - přesně ten minimalismus, co chceš."
"I";"Tomáše zajímalo, jak by na pád na zem reagovala.";"PONECHAT";"Ukazuje jeho odtažitý, skoro experimentální pohled na Klárku."
"I";"Klárka odsunula nohy od jogurtové kaluže, což mu dodalo trochu naděje.";"UPRAVIT";"""Trochu"" je slabá vycpávka, oslabuje emoci místo aby ji zpřesnila - škrtnout nebo nahradit konkrétnějším výrazem."
"I";"I přes svou hudební hluchotu a její hudební němotu dokázal brzy a bezpečně identifikovat melodii, kterou si broukala, a to díky nezaměnitelnému refrénu „da-da-da“.";"UPRAVIT";"""Brzy a bezpečně"" a ""nezaměnitelnému"" jsou přívlastky navíc - stačí ""dokázal identifikovat melodii"". Detail (da-da-da) navazuje na finále knihy v kap. XII - spojnici ponechat, opis zkrátit."
"I";"Popcorn od Gershona Kingsleyho.";"PONECHAT";"Konkrétní, věcná pointa vtipu - dobrý minimalistický úder."
"I";"Tomáš se odvážil opustit svůj kout, obešel stůl tou nejdelší cestou a upřel zrak na jeho střed, aby si důkladně prohlédl spoušť, které Klárka říkala snídaně.";"UPRAVIT";"""Důkladně"" opět nadbytečné. ""Tou nejdelší cestou"" je dobrý detail duchovské opatrnosti - ponechat, jen škrtnout ""důkladně""."
