"věta";"rozsudek";"komentář"
"V lednici kromě hovězích ledvin a vepřových jater byly jen dva bílé jogurty.";"UPRAVIT";"Silný kontrastní obraz (syrové vnitřnosti vs. jogurt v lednici) – nese atmosféru, ponechat. Ale ""bílé"" u jogurtu je samozřejmost, žádná informace navíc – škrtnout přívlastek."
"Klára jeden vytáhla a v mikrovlnce přihřála tvrdou housku, z níž setřela zrnka máku a soli.";"PONECHAT";"Konkrétní smyslový detail (mák, sůl, tvrdost housky = zanedbanost, samota). Zvážit nahradit jméno ""Klára"" zájmenem/elipsou – jméno se v pasáži opakuje zbytečně často, oslabuje to plynulost."
"Klára měla v plánu se nasnídat, než se Tomáš probere";"PONECHAT";"Zakládá vyhýbavost a napětí mezi postavami, funkční informace pro scénu, drží se úsporně."
"nesnášela ten stalkerský pohled, kterým na ni každé ráno zíral a slintal.";"UPRAVIT";"""Slintal"" je silný zvířecí/zombie obraz – ponechat. ""Stalkerský"" je anglicismus, vybočuje z básnického rejstříku celé knihy – nahradit českým slovem (""vtíravý"", ""dotěrný"", ""hladový""). ""Ten"" je hovorová berlička – škrtnout."
"Možná by svůj hnědý úděl snášela lépe, kdyby měla alespoň hodinu denně na regeneraci.";"UPRAVIT / OVĚŘIT S AUTOREM";"""Hnědý úděl"" je nezvyklá metafora – buď záměrně temně ironická (spojení s vnitřnostmi/hnědí), nebo překlep za ""hořký úděl"". Nutno ověřit záměr. ""Regenerace"" je klinický, neposetický výraz – nahradit (např. ""na klid"", ""na sebe"")."
"Hodila si nohy na stůl a skoro skopla nedojedenou snídani.";"PONECHAT";"Konkrétní fyzické gesto, dobré tempo. ""Nedojedenou"" nese informaci – nedokončený, přerušený rituál."
"Nemohla to vydržet, začala se jí motat hlava a jediné, co jí opravdu pomohlo, bylo odkrvení nohou.";"UPRAVIT";"Věta funguje a nese informaci o jejím stavu. ""Opravdu"" je čistá vycpávka bez informační hodnoty – škrtnout."
"Po několika minutách se jí ustálil dech a ustupující bolest v oblasti holení a kotníku byla tím nejpříjemnějším, co obvykle za celý den zažila.";"SMAZAT / DRASTICKY UPRAVIT";"""V oblasti holení a kotníku"" zní jako lékařská zpráva, ne próza. Zpomaluje scénu hned po silném předchozím odstavci. Pokud zůstat, zredukovat na holý obraz úlevy bez anatomického popisu."
"Správně by v takové poloze měla zůstat alespoň hodinu třikrát denně, obzvláště po ránu, kdy ji bolely nohy nejvíc.";"SMAZAT";"Čistě instruktážní věta, jako z letáku od lékaře. Nenese atmosféru ani emoci, jen vysvětluje – ubírá tempo scéně bezprostředně po pokusu o sebevraždu a v přítomnosti ""oživlého"" Tomáše."
"Bohužel pro její plantární hyperémii neměl nikdo moc pochopení.";"UPRAVIT";"Motiv ""nikdo jí nevěří/nerozumí"" je tematicky silný (osamělost, neviditelnost) – zachovat pocit. ""Plantární hyperémie"" je zbytečný klinický latinismus a ""Bohužel"" oslabující vycpávka – zredukovat na holý pocit nepochopení bez diagnózy."
"Neobtěžovala se to říct ani Tomášovi.";"PONECHAT";"Úsporně ukazuje emoční odstup a rezignaci – přesně ten typ minimalismu, o který usiluješ. Nejsilnější věta z trojice o nepochopení bolesti."
"Dokonce ani praktický lékař jí tu chronickou bolest nevěřil.";"SMAZAT";"Opakuje tutéž myšlenku jako předchozí a následující věta (""nikdo jí nevěřil"") – tři věty na jednu myšlenku je redundance. Ponechat nejsilnější formulaci (""Neobtěžovala se to říct ani Tomášovi.""), tuto škrtnout."
"Až druhý ortoped jí stav správně diagnostikoval, ale kromě krátké úlevy po pojmenování příčiny jí to stejně nepřineslo žádné přínosy.";"SMAZAT";"Zdravotní backstory zpomaluje scénu v citově vypjatém okamžiku. ""Přínosy"" je byrokratické slovo mimo rejstřík knihy. Nenese atmosféru, jen vysvětluje minulost."
"Plantární hyperémie se dá léčit pouze klidovým režimem a odstraněním stresových faktorů, a i tak se bolesti v intervalech vracejí.";"SMAZAT";"Nejhorší provinění v pasáži – čte se jako opsaná encyklopedická definice nemoci. Úplně mimo literární hlas knihy, ničí atmosféru a tempo."
"Otevřela sáček s tabákem";"PONECHAT";"Konkrétní gesto, dobrý rytmus, plynule uvádí další obraz."
"permanentní absťák jí připomínal největší životní radost.";"UPRAVIT";"Silná ironie (absťák = největší radost) – obsah zachovat. ""Permanentní"" je latinismus, nekonzistentní s drsným hovorovým rejstříkem okolních vět (""slintal"", ""dement"") – nahradit českým ""věčný"" nebo ""trvalý""."
"Rovnala tabák žmouláním papírku mezi prsty a snažila se nedívat na toho dementa v rohu.";"PONECHAT";"""Dement v rohu"" je krutý, syrový obraz přesně v tónu, který kniha používá jinde (""píčoviny"", ""AI Starý Kokot"" apod.) – funkční a silné, nesahat."
"„Da da da…“";"PONECHAT";"Už teď dokonale minimalistické – dětské/šílené zabroukání. Nejsilnější obraz odosobnění a rozpadu v celé pasáži. Nesahat."
"Začala si pobrukovat tu nejotravnější melodii, která ji zrovna napadla.";"UPRAVIT";"""Zrovna"" je vycpávka bez informační hodnoty – škrtnout."
"Zaměstnávalo to její mozek a odvádělo od okolních vjemů, jako byl třeba Tomáš, který se začal nepředvídatelně pohybovat po kuchyni, nebo fakt, že si zrovna máčí chodidlo v jogurtu.";"UPRAVIT";"Klíčová pointa celé pasáže – Tomášův loutkovitý/""oživlý"" pohyb a jogurt na noze (návrat motivu jogurtu z úvodu) – obsah bezpodmínečně zachovat. Ale ""zaměstnávalo... a odvádělo od okolních vjemů"" a spojky ""jako byl třeba"" / ""nebo fakt, že"" jsou těžkopádné – zjednodušit na dva syrové obrazy vedle sebe."
